Time Window: 14d

Super Summary - Total Irrigation Gallons (C0, C1, C2): 5993.67
Super Summary - Total Well 3 Gallons (C3Z1): 5088.58

================================================================================

Controller   Zone   TotalFlow  TotalMinutes AvgPSI   AvgTempF   AvgAmps    GPM      Updated 
--------------------------------------------------------------------------------------------
0            0      716.53     61.20        45.52    75.89      1.475      11.71    true    
0            1      0.00       0.00         0.00     0.00       0.000      0.00     true    
0            2      0.00       0.00         0.00     0.00       0.000      0.00     true    
0            3      0.00       0.00         0.00     0.00       0.000      0.00     true    
0            4      0.00       0.00         0.00     0.00       0.000      0.00     true    
1            1      40.53      4.67         46.84    78.56      1.411      8.68     true    
1            2      272.18     29.31        46.97    73.28      1.428      9.29     true    
1            3      0.00       0.00         0.00     0.00       0.000      0.00     true    
1            4      0.00       0.00         0.00     0.00       0.000      0.00     true    
1            5      0.00       0.00         0.00     0.00       0.000      0.00     true    
1            6      0.00       0.00         0.00     0.00       0.000      0.00     true    
1            7      0.00       0.00         0.00     0.00       0.000      0.00     true    
1            8      329.30     21.65        46.79    80.03      1.482      15.21    true    
1            9      203.03     24.69        45.73    80.14      1.384      8.22     true    
1            10     202.58     24.64        45.68    79.95      1.383      8.22     true    
1            11     619.55     35.32        45.94    73.59      1.531      17.54    true    
1            12     364.43     35.32        46.34    73.92      1.418      10.32    true    
1            13     481.55     45.11        46.40    75.08      1.420      10.68    true    
1            14     604.23     44.93        47.02    74.86      1.446      13.45    true    
1            15     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            16     163.10     9.65         46.47    79.84      1.502      16.90    true    
1            17     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            18     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            19     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            20     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            21     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            22     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            23     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            24     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            25     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            26     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            27     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            28     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            29     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            30     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            31     0.00       0.00         0.00     0.00       0.000      0.00     true    
1            32     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            1      476.60     49.76        46.32    73.42      1.414      9.58     true    
2            2      190.64     13.70        47.33    73.13      1.457      13.91    true    
2            3      393.84     27.31        46.49    73.05      1.456      14.42    true    
2            4      428.91     29.34        44.76    72.86      1.463      14.62    true    
2            5      180.59     11.67        46.02    78.94      1.492      15.48    true    
2            6      205.82     14.67        46.20    79.03      1.452      14.03    true    
2            7      120.27     9.62         46.28    78.99      1.423      12.50    true    
2            8      0.00       0.00         0.00     0.00       0.000      0.00     true    
2            9      0.00       0.00         0.00     0.00       0.000      0.00     true    
2            10     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            11     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            12     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            13     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            14     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            15     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            16     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            17     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            18     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            19     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            20     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            21     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            22     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            23     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            24     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            25     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            26     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            27     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            28     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            29     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            30     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            31     0.00       0.00         0.00     0.00       0.000      0.00     true    
2            32     0.00       0.00         0.00     0.00       0.000      0.00     true    
3            1      5088.58    511.88       4.14     58.78      100933563817228896.000 9.94     true    
3            2      0.00       95.74        83.77    77.61      34003328938066008457871360.000 0.00     true    
3            3      0.00       0.00         0.00     0.00       0.000      0.00     true    
3            4      0.00       0.00         0.00     0.00       0.000      0.00     true    
3            5      0.00       0.00         0.00     0.00       0.000      0.00     true    
4            1      0.00       0.00         0.00     0.00       0.000      0.00     true    
4            2      0.00       0.00         0.00     0.00       0.000      0.00     true    
4            3      0.00       0.00         0.00     0.00       0.000      0.00     true    
4            4      0.00       0.00         0.00     0.00       0.000      0.00     true    
4            5      0.00       0.00         0.00     0.00       0.000      0.00     true    
5            1      0.00       0.00         0.00     0.00       0.000      0.00     true    
5            2      0.00       0.00         0.00     0.00       0.000      0.00     true    
5            3      0.00       0.00         0.00     0.00       0.000      0.00     true    
5            4      0.00       0.00         0.00     0.00       0.000      0.00     true    
5            5      0.00       0.00         0.00     0.00       0.000      0.00     true    
