Super Summary - Total Irrigation Gallons (C0, C1, C2): 39862.04
Super Summary - Total Well 3 Gallons (C3Z1): 39964.95

================================================================================

Controller   Zone   TotalFlow  TotalMinutes AvgPSI   AvgTempF   AvgAmps    GPM      Updated 
--------------------------------------------------------------------------------------------
0            0      1467.29    142.92       558967651327867968.00 83273185155954094703225339904.00 29940851176489260995133308928.000 10.27    true    
0            1      0.00       0.00         0.00     0.00       0.000      0.00     false   
0            2      0.00       0.00         0.00     0.00       0.000      0.00     false   
0            3      0.00       0.00         0.00     0.00       0.000      0.00     false   
0            4      0.00       0.00         0.00     0.00       0.000      0.00     false   
1            1      557.41     76.05        42.39    76.56      1.465      7.33     true    
1            2      986.99     101.59       46.03    73.08      1.441      9.72     true    
1            3      1228.75    123.81       46.09    71.70      1.444      9.92     true    
1            4      1382.93    102.67       48.46    71.86      1.435      13.47    true    
1            5      1429.14    172.64       45.80    71.85      1.388      8.28     true    
1            6      1479.08    172.84       45.59    71.78      1.388      8.56     true    
1            7      937.77     108.29       46.11    70.26      1.426      8.66     true    
1            8      1873.27    108.46       47.78    69.99      1.496      17.27    true    
1            9      1040.63    123.35       45.65    70.11      1.392      8.44     true    
1            10     1038.93    123.30       45.42    69.77      1.389      8.43     true    
1            11     1827.80    93.89        47.12    72.43      1.526      19.47    true    
1            12     1337.82    116.71       46.05    72.55      1.415      11.46    true    
1            13     2040.09    174.79       45.80    73.43      1.417      11.67    true    
1            14     2646.25    174.09       47.24    73.59      1.447      15.20    true    
1            15     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            16     2560.97    144.15       44.44    77.79      1.480      17.77    true    
1            17     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            18     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            19     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            20     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            21     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            22     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            23     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            24     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            25     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            26     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            27     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            28     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            29     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            30     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            31     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            32     0.00       0.00         0.00     0.00       0.000      0.00     false   
2            1      1166.90    117.99       44.89    70.90      1.426      9.89     true    
2            2      1044.43    68.32        47.01    69.14      1.466      15.29    true    
2            3      1308.95    81.99        46.60    70.27      1.468      15.97    true    
2            4      1481.86    87.87        46.00    70.46      1.480      16.86    true    
2            5      1162.60    69.93        46.87    70.40      1.509      16.62    true    
2            6      1353.56    87.92        47.36    70.31      1.456      15.40    true    
2            7      1190.49    87.95        47.28    70.41      1.426      13.54    true    
2            8      1273.07    75.05        46.58    70.87      1.480      16.96    true    
2            9      1467.59    88.62        45.22    71.10      1.580      16.56    true    
