Super Summary - Total Irrigation Gallons (C0, C1, C2): 62214.08
Super Summary - Total Well 3 Gallons (C3Z1): 63781.37

================================================================================

Controller   Zone   TotalFlow  TotalMinutes AvgPSI   AvgTempF   AvgAmps    GPM      Updated 
--------------------------------------------------------------------------------------------
0            0      8193.60    665.43       14675255611463676195662179709485056.00 37557735659448062640954277888.00 19271573655451996451644637184.000 12.31    true    
0            1      0.00       0.00         0.00     0.00       0.000      0.00     false   
0            2      0.00       0.00         0.00     0.00       0.000      0.00     false   
0            3      0.00       0.00         0.00     0.00       0.000      0.00     false   
0            4      0.00       0.00         0.00     0.00       0.000      0.00     false   
1            1      1088.51    136.42       41.79    76.64      62.646     7.98     true    
1            2      1446.34    147.12       46.07    71.25      1.436      9.83     true    
1            3      1778.41    178.02       46.11    70.95      1.436      9.99     true    
1            4      2003.85    148.00       48.42    71.08      1.428      13.54    true    
1            5      2054.95    247.92       45.79    70.98      1.382      8.29     true    
1            6      2115.97    247.51       45.58    70.40      1.383      8.55     true    
1            7      1497.53    173.29       45.93    70.29      1.418      8.64     true    
1            8      3120.84    173.51       47.26    70.10      1.506      17.99    true    
1            9      1653.21    197.38       45.42    70.01      1.383      8.38     true    
1            10     1663.37    197.41       45.22    69.72      1.383      8.43     true    
1            11     2449.33    132.23       47.38    70.43      1.509      18.52    true    
1            12     1569.22    136.38       46.18    72.31      1.411      11.51    true    
1            13     1917.44    165.50       45.87    73.32      1.409      11.59    true    
1            14     2469.65    177.72       46.19    73.78      1.425      13.90    true    
1            15     36.05      15.72        46.12    69.30      563.901    2.29     true    
1            16     4802.62    264.01       44.26    74.59      238.781    18.19    true    
1            17     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            18     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            19     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            20     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            21     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            22     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            23     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            24     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            25     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            26     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            27     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            28     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            29     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            30     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            31     0.00       0.00         0.00     0.00       0.000      0.00     false   
1            32     0.00       0.00         0.00     0.00       0.000      0.00     false   
2            1      1499.03    157.29       44.92    70.27      1.413      9.53     true    
2            2      1660.72    109.33       47.13    67.73      1.454      15.19    true    
2            3      2060.08    126.15       46.76    68.67      1.463      16.33    true    
2            4      2015.09    120.51       45.85    69.97      1.468      16.72    true    
2            5      1606.99    95.56        46.44    71.13      1.502      16.82    true    
2            6      1656.92    107.88       46.11    71.12      1.441      15.36    true    
2            7      1530.69    107.93       47.21    71.20      1.420      14.18    true    
2            8      1835.67    103.69       46.52    70.59      1.474      17.70    true    
